Oʻzbekiston Respublikasi Prezidenti necha yil muddatga saylanadi?,4 yil,5 yil,6 yil,7 yil,b
Fuqarolik kodeksiga koʻra shartnoma qachon kuchga kiradi?,Imzolangan paytdan,Notarial tasdiqlanganidan soʻng,Qonunga muvofiq roʻyxatdan oʻtkazilgach,Tomonlar kelishuviga koʻra,a
Davlat tilidan tashqari qaysi tillar rasmiy ishlatiladi?,Rus tili,Tojik tili,Qoraqalpoq tili,Ingliz tili,a
Jinoyat protsessida ayblovchi kim?,Sud,Advokat,Jinoyatchi,Prokuror,d
Konstitutsiyaga koʻra davlat budjetini kim tasdiqlaydi?,Prezident,Vazirlar Mahkamasi,Oliy Majlis,Senat,c
Oʻzbekiston Respublikasi Konstitutsiyaviy sudi nimani koʻrib chiqadi?,Jinoyat ishlarini,Konstitutsiyaga muvofiqlikni,Maʼmuriy ishlarni,Sud qarorlarini ijro etadi,b
Huquqbuzarlik uchun maʼmuriy javobgarlikka tortishning eng kam yoshi nechida boshlanadi?,14 yosh,16 yosh,15 yosh,18 yosh,b
Fuqarolik protsessida daʼvogarning vazifasi nima?,Ishni koʻrib chiqish,Daʼvo kiritish,Sud qarorini ijro qilish,Jinoyatni ochish,b
Oʻzbekiston Respublikasida sud qarorlaridan shikoyat qilish muddati qancha?,7 kun,10 kun,20 kun,30 kun,d
Byudjet mablagʻlarini nazorat qiluvchi davlat organi qaysi?,Markaziy bank,Davlat soliq qoʻmitasi,Hisob palatasi,Oliy Majlis,c
Qaysi vaziyatda himoya qilishning zarurligi tan olinadi?,Faol jinoyatchi hujum qilganda,Qoʻrqitish boʻlganda,Shaxsiy dushmanlik boʻlganda,Jamoat joyida gaplashganda,a
Oʻzbekiston Respublikasi sud tizimining eng yuqori pogʻonasi nima?,Sudya Kengashi,Oliy Majlis,Oliy Sud,Prokuratura,c
Qaysi holatda nikoh yaroqsiz deb topiladi?,Rozilik bilan tuzilgan boʻlsa,Sudga roʻyxatdan oʻtgan boʻlsa,Biri voyaga yetmagan boʻlsa,Faqat toʻy oʻtkazilgan boʻlsa,c
Jinoyat ishini qoʻzgʻatish asosini nima tashkil etadi?,Sud qarori,Prokurorning buyrugʻi,Jinoyat alomatlari,Sud qarorini ijro etish,c
Huquqiy ongning asosiy elementi nima?,Majburiyat,Huquqiy bilim,Huquqiy javobgarlik,Huquqiy hujjat,b
Davlat rahbarining asosiy vazifasi nima?,Byudjet tasdiqlash,Hukumatni shakllantirish,Sud qarorlarini chiqarish,Jinoyat ishlarini koʻrib chiqish,b
Oʻzbekiston Respublikasi Konstitutsiyasi nechta boʻlimdan iborat?,5 boʻlim,6 boʻlim,7 boʻlim,8 boʻlim,c
Xalqaro huquqning asosiy prinsipi nima?,Kuch ishlatish huquqi,Davlat mustaqilligi va tengligi,Qonuniylik,Maʼmuriy tartib,b
Davlat boshqaruvi subyekti nima?,Fuqaro,Nodavlat tashkilot,Davlat organi,Sud,c
Advokat himoya qiluvchi sifatida kimni himoya qiladi?,Sudyan,Ayblanuvchini,Prokurorni,Guvohni,b
